"company_name","company_number","reg_address_care_of","reg_address_po_box","reg_address_line1","reg_address_line2","reg_address_post_town","reg_address_county","reg_address_country","reg_address_post_code","company_category","company_status","country_of_origin","dissolution_date","incorporation_date","accounts_ref_day","accounts_ref_month","accounts_next_due_date","accounts_last_made_up_date","accounts_category","returns_next_due_date","returns_last_made_up_date","mortgages_num_charges","mortgages_num_outstanding","mortgages_num_part_satisfied","mortgages_num_satisfied","sic_code_text_1","sic_code_text_2","sic_code_text_3","sic_code_text_4","limited_partnerships_num_gen_partners","limited_partnerships_num_lim_partners","uri","previous_name_1_condate","previous_name_1_company_name","previous_name_2_condate","previous_name_2_company_name","previous_name_3_condate","previous_name_3_company_name","previous_name_4_condate","previous_name_4_company_name","previous_name_5_condate","previous_name_5_company_name","previous_name_6_condate","previous_name_6_company_name","previous_name_7_condate","previous_name_7_company_name","previous_name_8_condate","previous_name_8_company_name","previous_name_9_condate","previous_name_9_company_name","previous_name_10_condate","previous_name_10_company_name","conf_stmt_next_due_date","conf_stmt_last_made_up_date"
"!OBAC LIMITED","FC031362","","","REGENCY COURT PO BOX 296,","GLATEGNY ESPLANADE","ST PETER PORT","GY1 4NA","GUERNSEY","","Other company type","Active","CHANNEL ISLANDS",NULL,"2012-11-30",31,12,NULL,"2022-12-31","FULL",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/FC031362",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2016-12-14",NULL
"!OBAC UK LIMITED","07687209","","","UNIT 9   BERRY COURT FARM BRAMLEY ROAD","LITTLE LONDON","TADLEY","HAMPSHIRE","","RG26 5AT","Private Limited Company","Active","United Kingdom",NULL,"2011-06-29",29,6,"2025-03-29","2022-12-31","TOTAL EXEMPTION FULL","2017-07-27","2016-06-29",1,0,0,1,"70229 - Management consultancy activities other than financial management","","","",0,0,"http://business.data.gov.uk/id/company/07687209","2011-07-15","!OBAC FITTINGS LIMITED",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-07-13","2024-06-29"
"!YOZO FASS LIMITED","02714021","","","1 VERONICA HOUSE","WICKHAM ROAD","BROCKLEY","","","SE4 1NQ","Private Limited Company","Active","United Kingdom",NULL,"1992-05-12",31,3,"2025-12-31","2024-03-31","DORMANT","2017-06-09","2016-05-12",0,0,0,0,"90010 - Performing arts","","","",0,0,"http://business.data.gov.uk/id/company/02714021",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2026-01-13","2024-12-30"
""" I NEED IT EMPORIUM"" LTD","15379092","","","15 LINCOLN WAY","","THETFORD","NORFOLK","UNITED KINGDOM","IP24 1DG","Private Limited Company","Active","United Kingdom",NULL,"2023-12-31",31,12,"2025-09-30",NULL,"NO ACCOUNTS FILED","2025-01-28",NULL,0,0,0,0,"47910 - Retail sale via mail order houses or via Internet","","","",0,0,"http://business.data.gov.uk/id/company/15379092",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-01-13",NULL
""" TRIPLE D"" PROPERTIES LIMITED","13310195","","","48 NOCKS AVENUE","","BIRMINGHAM","","ENGLAND","B24 9NB","Private Limited Company","Active","United Kingdom",NULL,"2021-04-01",30,4,"2025-01-31","2023-04-30","UNAUDITED ABRIDGED","2022-04-29",NULL,1,1,0,0,"68209 - Other letting and operating of own or leased real estate","68320 - Management of real estate on a fee or contract basis","","",0,0,"http://business.data.gov.uk/id/company/13310195",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-05-14","2024-04-30"
"""1ST RATE"" PSYCHOLOGY SERVICES LTD","11303802","","","116 ALEXANDRA ROAD","","GREAT WAKERING","ESSEX","UNITED KINGDOM","SS3 0GW","Private Limited Company","Active","United Kingdom",NULL,"2018-04-11",29,4,"2025-01-29","2023-04-29","MICRO ENTITY","2019-05-09",NULL,0,0,0,0,"85600 - Educational support services","86900 - Other human health activities","","",0,0,"http://business.data.gov.uk/id/company/11303802",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-04-24","2024-04-10"
"""2 ECOUTE"" LIMITED","06439541","","","38 PAXTON GARDENS","WOKING","SURREY","","","GU21 5TS","Private Limited Company","Active - Proposal to Strike off","United Kingdom",NULL,"2007-11-28",30,11,"2023-08-31","2021-11-30","DORMANT","2016-12-26","2015-11-28",0,0,0,0,"99999 - Dormant Company","","","",0,0,"http://business.data.gov.uk/id/company/06439541",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2022-12-12","2021-11-28"
"""20-20 VOICE"" CANCER","CE000952","","","","","","","","","Charitable Incorporated Organisation","Active","United Kingdom",NULL,"2014-04-17",NULL,NULL,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/CE000952",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,NULL
"""243 RUGBY ROAD MANAGEMENT COMPANY LIMITED""","05914136","","","94 PARK LANE","","CROYDON","SURREY","ENGLAND","CR0 1JB","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom",NULL,"2006-08-23",31,8,"2025-05-31","2023-08-31","MICRO ENTITY","2016-09-20","2015-08-23",0,0,0,0,"98000 - Residents property management","","","",0,0,"http://business.data.gov.uk/id/company/05914136",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-09-06","2024-08-23"
"""309"" WEST END LANE MANAGEMENT LIMITED","02943302","","","309 WEST END LANE","","LONDON","","ENGLAND","NW6 1RD","Private Limited Company","Active","United Kingdom",NULL,"1994-06-28",24,12,"2025-09-24","2023-12-24","DORMANT","2017-07-26","2016-06-28",0,0,0,0,"98000 - Residents property management","","","",0,0,"http://business.data.gov.uk/id/company/02943302",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-06-23","2024-06-09"
"""DUKE OF WELLINGTON"" (HIGH BRIDGE) LIMITED","00829173","","","19 DARBY CRESCENT","","SUNBURY-ON-THAMES","MIDDLESEX","","TW16 5LB","Private Limited Company","Active","United Kingdom",NULL,"1964-11-27",31,12,"2025-09-30","2023-12-31","TOTAL EXEMPTION FULL","2016-09-17","2015-08-20",0,0,0,0,"68209 - Other letting and operating of own or leased real estate","","","",0,0,"http://business.data.gov.uk/id/company/00829173",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-09-03","2024-08-20"
"""4RENT ESTATES"" LTD","14983527","","","WHITE HOUSE","WOLLATON STREET","NOTTINGHAM","NOTTS","UNITED KINGDOM","NG1 5GF","Private Limited Company","Active","United Kingdom",NULL,"2023-07-05",31,7,"2025-04-05",NULL,"NO ACCOUNTS FILED","2024-08-02",NULL,0,0,0,0,"68100 - Buying and selling of own real estate","68209 - Other letting and operating of own or leased real estate","68320 - Management of real estate on a fee or contract basis","",0,0,"http://business.data.gov.uk/id/company/14983527",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-07-18","2024-07-04"
"""786"" MAZ OFFICE SUPPORT LIMITED","10694769","","","22 BEDFORD ROAD","","ILFORD","","ENGLAND","IG1 1EJ","Private Limited Company","Active","United Kingdom",NULL,"2017-03-28",30,4,"2026-01-31","2024-04-30","MICRO ENTITY","2018-04-25",NULL,0,0,0,0,"82110 - Combined office administrative service activities","","","",0,0,"http://business.data.gov.uk/id/company/10694769","2017-04-06","MAZ A&T SERVICES LIMITED",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-04-03","2024-03-20"
"""A TASTE OF TUSCANY"" LTD","15761044","","","71-75 SHELTON STREET","COVENT GARDEN","LONDON","","UNITED KINGDOM","WC2H 9JQ","Private Limited Company","Active","United Kingdom",NULL,"2024-06-04",30,6,"2026-03-04",NULL,"NO ACCOUNTS FILED","2025-07-02",NULL,0,0,0,0,"56101 - Licensed restaurants","68209 - Other letting and operating of own or leased real estate","","",0,0,"http://business.data.gov.uk/id/company/15761044",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-06-17",NULL
"""A"" CERAMICS LIMITED","04494986","","","LAKESIDE HOUSE","SMITHS ROAD","BOLTON","","ENGLAND","BL3 2QJ","Private Limited Company","Active","United Kingdom",NULL,"2002-07-25",31,7,"2026-04-30","2024-07-31","TOTAL EXEMPTION FULL","2016-08-22","2015-07-25",1,0,0,1,"86230 - Dental practice activities","","","",0,0,"http://business.data.gov.uk/id/company/04494986",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-08-08","2024-07-25"
"""A"" CONCEPT LIMITED","02537158","","","BEAUFORT HOUSE","5 MIDDLESEX STREET","LONDON","","","E1 7AA","Private Limited Company","Active","United Kingdom",NULL,"1990-09-05",30,6,"2025-03-31","2023-06-30","TOTAL EXEMPTION FULL","2016-10-03","2015-09-05",2,0,0,2,"64209 - Activities of other holding companies n.e.c.","73110 - Advertising agencies","","",0,0,"http://business.data.gov.uk/id/company/02537158",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-09-19","2024-09-05"
"""A.B.J.Z DRIVER HIRE "" LTD","09151627","","","C/O HUDSON WEIR LIMITED","58 LEMAN STREET","LONDON","","","E1 8EU","Private Limited Company","Liquidation","United Kingdom",NULL,"2014-07-29",31,7,"2024-04-30","2022-07-31","TOTAL EXEMPTION FULL","2016-08-25","2015-07-28",0,0,0,0,"49410 - Freight transport by road","52290 - Other transportation support activities","78200 - Temporary employment agency activities","82990 - Other business support service activities n.e.c.",0,0,"http://business.data.gov.uk/id/company/09151627",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-02-09","2024-01-26"
"""ALL WRAPPED UP"" EVENTS MANAGEMENT LTD","SC313991","","","UNIT 27, FIFE FOOD & BUSINESS CENTRE","FARADAY ROAD","GLENROTHES","","SCOTLAND","KY6 2RU","Private Limited Company","Active","United Kingdom",NULL,"2007-01-03",31,5,"2025-02-28","2023-02-28","MICRO ENTITY","2017-01-31","2016-01-03",0,0,0,0,"82990 - Other business support service activities n.e.c.","","","",0,0,"http://business.data.gov.uk/id/company/SC313991",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-01-17","2024-01-03"
"""ALTAI CASHMERE"" LLC","FC027187","","","BUILDING LEFT TO THE ""TUUL""","DRY CLEANING","KHAN-UUL DISTRICT","ULAANBAATAR, MONGOLIA","MONGOLIA","","Other company type","Active","MONGOLIA",NULL,"2006-06-14",30,6,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/FC027187",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2016-12-26",NULL
"""AN IDEAL LIFE???"" CIC","12459056","","","197 CLAREMONT ROAD","","MANCHESTER","","ENGLAND","M14 4JF","Community Interest Company","Active - Proposal to Strike off","United Kingdom",NULL,"2020-02-12",29,2,"2022-02-28",NULL,"NO ACCOUNTS FILED","2021-03-12",NULL,0,0,0,0,"85600 - Educational support services","","","",0,0,"http://business.data.gov.uk/id/company/12459056",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2023-02-25","2022-02-11"
"""AND BREATHE"" LTD","09008930","","","UNIT G20 BOSTON ENTERPRISE CENTRE VENTURE HOUSE","ENTERPRISE WAY","BOSTON","","ENGLAND","PE21 7TW","Private Limited Company","Active","United Kingdom",NULL,"2014-04-24",31,7,"2026-04-30","2024-07-31","MICRO ENTITY","2017-05-22","2016-04-24",0,0,0,0,"86900 - Other human health activities","","","",0,0,"http://business.data.gov.uk/id/company/09008930",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-05-08","2024-04-24"
"""ANDI'S GIFT""","CE012989","","","","","","","","","Charitable Incorporated Organisation","Active","United Kingdom",NULL,"2018-01-22",NULL,NULL,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/CE012989",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,NULL
"""ARTHUR BALFOUR"",CONSERVATIVE WORKING MEN'S CLUB LIMITED","IP10067R","","","","","","","","","Registered Society","Active","United Kingdom",NULL,"1981-01-01",NULL,NULL,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/IP10067R",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2017-01-15",NULL
"""AUTOCONTEX"" AUTOMOBIL CONTAINER EXPRESS GMBH","FC018262","","","BRANCH REGISTRATION","REFER TO PARENT REGISTRY","","","GERMANY","","Other company type","Active","WEST GERMANY",NULL,"1994-11-01",30,11,NULL,"2002-12-31","FULL",NULL,NULL,2,2,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/FC018262",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2016-12-01",NULL
"""B""","CE033707","","","","","","","","","Charitable Incorporated Organisation","Active","United Kingdom",NULL,"2023-09-26",NULL,NULL,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/CE033707",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,NULL
"""B"" COOL LIMITED","05318740","","","C/O CHARNWOOD ACCOUNTANTS THE POINT GRANITE WAY","MOUNTSORREL","LOUGHBOROUGH","LEICESTERSHIRE","","LE12 7TZ","Private Limited Company","Active","United Kingdom",NULL,"2004-12-21",31,12,"2025-09-30","2023-12-31","TOTAL EXEMPTION FULL","2017-01-18","2015-12-21",0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation","","","",0,0,"http://business.data.gov.uk/id/company/05318740",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2026-01-04","2024-12-21"
"""BACHELORS"" LIMITED(THE)","00807672","","","47A HIGH STREET","BANSTEAD","SURREY","","","SM7 2NL","Private Limited Company","Liquidation","United Kingdom",NULL,"1964-06-03",30,6,"2003-04-30",NULL,"NO ACCOUNTS FILED",NULL,NULL,1,1,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/00807672",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2017-06-17",NULL
"""BAMEX"" ZAKLAD PRODUKCYJNO-HANDLOWY","FC015324","","","MR.E.SZELICZYK","67 OXLEAY ROAD","RAYNERS LANE","HARROW MIDDX.HA2 9UZ","POLAND","","Other company type","Active","POLAND",NULL,"1989-12-11",31,3,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/FC015324",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2016-12-25",NULL
"""BE"" NEWHALL MANAGEMENT COMPANY LIMITED","07326397","","","VANTAGE POINT","23 MARK ROAD","HEMEL HEMPSTEAD","HERTFORDSHIRE","","HP2 7DN","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom",NULL,"2010-07-27",31,7,"2025-04-30","2023-07-31","DORMANT","2016-08-24","2015-07-27",0,0,0,0,"98000 - Residents property management","","","",0,0,"http://business.data.gov.uk/id/company/07326397",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-08-10","2024-07-27"
"""BEDE INVESTMENT PROPERTIES LIMITED""","02871100","","","43A UXBRIDGE ROAD","LONDON","","","","W12 8LA","Private Limited Company","Active","United Kingdom",NULL,"1993-11-12",31,12,"2025-09-30","2023-12-31","MICRO ENTITY","2016-11-28","2015-10-31",5,5,0,0,"68100 - Buying and selling of own real estate","68209 - Other letting and operating of own or leased real estate","","",0,0,"http://business.data.gov.uk/id/company/02871100",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-11-14","2024-10-31"
"""BEECHBANK COURT"" MANAGEMENT COMPANY LIMITED","01382560","","","33 BEECHBANK","NORWICH","NORFOLK","","","NR2 2AL","Private Limited Company","Active","United Kingdom",NULL,"1978-08-07",31,5,"2026-02-28","2024-05-31","MICRO ENTITY","2017-05-23","2016-04-25",0,0,0,0,"68320 - Management of real estate on a fee or contract basis","74990 - Non-trading company","","",0,0,"http://business.data.gov.uk/id/company/01382560",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-05-09","2024-04-25"
"""BELLE-VUE"" ENTERPRISES LIMITED","04427981","","","2 THE CRESCENT","","WISBECH","CAMBRIDGESHIRE","UNITED KINGDOM","PE13 1EH","Private Limited Company","Active","United Kingdom",NULL,"2002-04-30",31,5,"2025-02-28","2023-05-31","MICRO ENTITY","2017-05-25","2016-04-27",0,0,0,0,"56101 - Licensed restaurants","","","",0,0,"http://business.data.gov.uk/id/company/04427981",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-05-11","2024-04-27"
"""EL AL"" ISRAEL AIRLINES LIMITED","FC004087","","","BEN-GURION AIRPORT","PO BOX 41","ZIP 70100","ISRAEL","ISRAEL","","Other company type","Active","ISRAEL",NULL,"1993-01-01",31,12,NULL,"2023-12-31","GROUP",NULL,NULL,8,7,0,1,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/FC004087",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2016-12-04",NULL
"""BEON"" SUPPORT LTD","14502415","","","1 DEBEN ROAD","","CORBY","","ENGLAND","NN17 2JY","Private Limited Company","Active","United Kingdom",NULL,"2022-11-23",4,4,"2026-01-04","2024-04-04","MICRO ENTITY","2023-12-21",NULL,0,0,0,0,"41100 - Development of building projects","69109 - Activities of patent and copyright agents; other legal activities n.e.c.","84300 - Compulsory social security activities","88990 - Other social work activities without accommodation n.e.c.",0,0,"http://business.data.gov.uk/id/company/14502415",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-08-08","2024-07-25"
"""BETTER CALL CECIL"" LTD","13105018","","","33 HIGHBURY ROAD","BREAM","LYDNEY","","ENGLAND","GL15 6EF","Private Limited Company","Active","United Kingdom",NULL,"2020-12-30",31,12,"2025-09-30","2023-12-31","TOTAL EXEMPTION FULL","2022-01-27",NULL,0,0,0,0,"69109 - Activities of patent and copyright agents; other legal activities n.e.c.","","","",0,0,"http://business.data.gov.uk/id/company/13105018",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-01-29","2024-01-15"
"""BIGMAC LTD"" LIMITED","14413667","","","3 STANEFORD CLOSE","KETLEY","TELFORD","","ENGLAND","TF1 5GS","Private Limited Company","Active","United Kingdom",NULL,"2022-10-12",11,10,"2024-07-12",NULL,"NO ACCOUNTS FILED","2023-11-09",NULL,0,0,0,0,"49410 - Freight transport by road","","","",0,0,"http://business.data.gov.uk/id/company/14413667",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-10-25","2024-10-11"
